path,length,min_id,max_id
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr+2__ts1p000.json,29061,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr+2__ts1p025.json,29185,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr+2__ts1p050.json,29336,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr+3__ts0p975.json,28834,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr+3__ts1p050.json,29309,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-1__ts0p950.json,29059,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-1__ts0p975.json,28977,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-2__ts0p975.json,29058,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-2__ts1p050.json,29425,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-3__ts0p975.json,29244,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-3__ts1p000.json,29071,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr-3__ts1p050.json,29587,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr0__ts1p000.json,29072,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\10piano_sonata_330_hisamori_merged_piano__tr0__ts1p050.json,29542,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr+1__ts1p000.json,47629,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr+1__ts1p025.json,47918,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr+2__ts0p950.json,46942,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr+2__ts1p050.json,48123,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr+3__ts1p000.json,47552,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr-1__ts1p000.json,47471,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr-1__ts1p025.json,47957,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr-1__ts1p050.json,47884,4,663
C:\Users\herre\PycharmProjects\TFG_INFO\data\interim\tokenized_finetuning_v3\11piano_sonata_331_hisamori_merged_piano__tr-2__ts1p025.json,47807,4,663
